Tree,BS,DBH,DB,V,WP
337,1,4.1,91,5,1
338,0,33.1,11,3,0
339,0,35.2,66,1,1
340,0,7.2,76,4,1
341,1,31.7,77,4,1
342,0,17.2,30,4,0
343,1,19.9,45,3,0
344,1,19.4,89,3,0
345,1,10.5,62,2,0
346,1,12.3,40,4,1
347,1,3.3,48,3,0
348,0,38.7,73,2,0
349,1,24.5,70,2,0
350,0,12.7,85,1,0
351,1,8.3,2,1,1
352,1,30,62,4,1
353,1,35.4,92,1,1
354,0,11.9,36,0,0
355,0,26.5,30,2,1
356,1,28.4,24,1,0
357,0,36.9,49,2,1
358,0,39.3,49,4,1
359,1,25.5,36,2,0
360,0,13.2,70,4,0
361,1,21.4,40,1,1
362,1,29.8,6,0,1
363,1,16.4,91,4,1
364,1,14.8,14,3,1
365,0,16,88,1,1
366,1,17.8,61,3,0
367,0,38,75,3,1
368,1,13.1,2,2,1
369,0,29.3,89,3,0
370,1,11.2,89,5,0
371,1,24,93,2,1
372,0,18.8,37,3,0
373,1,16.5,8,3,1
374,0,38.2,91,5,1
375,0,39.1,62,4,1
376,0,0.5,12,4,0
377,1,28.9,81,5,1
378,0,23.3,99,2,1
379,1,14.1,11,2,0
380,0,27.2,56,3,1
381,1,28.2,94,4,1
382,1,28.3,99,5,0
383,1,21.7,32,2,0
384,0,22.3,6,2,1
385,1,24.3,77,3,1
386,0,39.7,38,3,0
387,0,23.9,96,0,1
388,0,15.4,12,2,0
389,0,23.2,39,0,0
390,0,5.5,44,3,0
391,0,20.6,41,0,0
392,0,15.8,30,0,0
393,1,11.2,34,3,1
394,1,38.5,88,4,0
395,1,20.7,89,4,0
396,0,15.3,82,1,1
397,1,33.4,53,3,0
398,0,8.4,11,3,1
399,0,18.2,10,1,0
400,0,30.8,98,5,0
401,1,17.1,86,2,1
402,1,30.3,27,1,1
403,1,32.8,66,2,1
404,0,4.8,49,1,0
405,1,17.2,45,4,0
406,1,35.5,96,4,0
407,0,9,70,1,1
408,0,36.7,36,1,0
409,0,33.8,54,4,1
410,1,16.4,95,4,1
411,1,8.1,76,1,1
412,0,29.4,14,5,0
413,0,9.8,33,3,1
414,1,22.7,61,1,1
415,1,34.1,47,3,1
416,1,25.5,89,3,1
417,1,6,69,1,1
418,1,0.3,81,4,1
419,0,22.2,63,1,1
420,0,31.3,18,4,0
421,0,20.5,100,0,1
422,1,7.3,59,1,0
423,1,11.8,91,1,1
424,0,20.9,70,2,0
425,0,35.6,58,1,0
426,0,11.6,35,0,1
427,1,6.5,77,5,0
428,1,29,28,4,1
429,1,15.9,47,1,0
430,0,7.3,50,4,1
431,1,35.2,13,1,0
432,0,36.6,52,3,1
433,1,21.1,68,2,1
434,0,26.6,74,2,1
435,1,26.2,96,2,1
436,0,33.6,93,2,1
437,1,36.8,93,1,1
438,0,31.7,48,3,1
439,1,2,46,1,1
440,0,3.8,76,0,1
441,1,2.1,69,2,0
442,0,14,22,3,0
443,1,23.7,26,2,0
444,0,22.1,18,1,0
445,0,29.3,14,1,0
446,1,17.5,92,3,1
447,1,23.9,66,4,0
448,1,36,40,2,0
449,1,30,58,1,1
450,1,6.7,15,2,0
451,0,27.4,48,1,1
452,1,4.3,21,1,1
453,1,19.6,16,3,1
454,1,11.8,24,3,0
455,1,8.7,13,2,0
456,1,24.9,3,5,0
457,1,16.3,12,3,0
458,1,30.8,28,5,1
459,0,17.2,5,3,1
460,1,3.7,33,1,0
461,0,15.3,66,1,1
462,1,15.8,16,2,0
463,0,30.2,3,0,0
464,0,35.4,93,4,0
465,1,2.7,94,5,0
466,0,26.5,24,2,1
467,1,38.2,59,3,0
468,1,4.8,46,1,1
469,0,20.1,7,1,1
470,1,36.1,3,4,0
471,1,21.9,91,2,1
472,1,33.8,29,0,1
473,1,33.7,62,0,0
474,0,10.4,22,3,0
475,0,3.5,88,3,1
476,1,26.1,42,3,0
477,0,14.1,50,2,1
478,1,2,53,3,0
479,1,21.7,53,4,0
480,1,0.8,27,4,1
481,1,32.3,71,1,0
482,0,29.3,75,4,0
483,0,20,22,4,1
484,0,12.4,19,5,1
485,1,18.6,18,3,0
486,0,13.3,69,3,1
487,1,26.5,93,4,0
488,0,30.5,86,0,1
489,1,2.6,57,0,1
490,0,36.8,73,0,1
491,0,22.8,45,1,1
492,0,11.2,67,4,1
493,1,15.2,27,4,1
494,1,26.5,93,2,1
495,1,37.2,25,0,1
496,0,38.9,98,3,0
497,1,31,98,1,0
498,0,1.2,53,1,1
499,0,35.2,27,2,0
500,1,6.9,67,2,0
501,0,38.5,1,1,0
502,1,23.1,28,3,0
503,1,15.1,40,4,0
504,0,3.6,97,1,0
505,0,19.4,35,2,1
506,0,30.5,15,4,1
507,0,15.6,12,1,1
508,0,4.4,82,1,1
509,1,37.4,19,0,1
510,1,37.6,69,4,0
511,1,19.5,9,1,0
512,1,0.7,71,2,0
513,0,20.8,99,5,0
514,0,32,91,2,0
515,1,0.4,71,4,1
516,0,9.9,15,2,0
517,1,27.9,19,2,0
518,1,25.5,7,2,1
519,0,27.8,3,5,1
520,0,21.5,90,1,1
521,0,33,54,4,0
522,0,39.6,4,2,1
523,0,24,94,3,0
524,0,27.3,56,2,1
525,0,2.4,92,3,1
526,0,30.3,70,1,1
527,0,34.6,70,4,0
528,1,21.4,27,2,1
529,1,40,64,1,0
530,0,27,17,4,0
531,0,24.6,18,3,0
532,0,12.3,65,2,0
533,1,0.7,9,3,1
534,0,6.4,81,3,0
535,0,30.3,78,1,0
536,0,25.4,51,2,0
537,0,18,60,1,0
538,1,6.2,25,4,0
539,1,35.6,55,0,1
540,1,9.4,17,1,0
541,0,39.5,23,5,0
542,1,32.1,100,1,1
543,1,21.4,29,2,0
544,0,10.7,73,1,0
545,0,24.1,27,3,1
546,0,36.7,70,5,0
547,0,0.4,64,5,1
548,0,35.4,9,1,0
549,1,20.6,75,2,1
550,1,33.8,72,3,1
551,1,15.6,80,2,0
552,0,20.7,84,3,0
553,0,10.4,22,1,1
554,0,17,36,4,1
555,1,16.9,70,5,0
556,1,36.8,52,1,1
557,0,31.3,98,4,1
558,1,12.4,10,5,0
559,1,11.2,27,5,0
560,1,20.3,83,0,0
561,1,31.2,69,4,1
562,1,21.1,16,3,0
563,1,36.4,78,2,1
564,0,36.9,33,4,1
565,1,31.7,96,2,1
566,0,32.4,8,1,1
567,1,22.9,49,5,0
568,1,32.9,3,4,0
569,1,36.6,71,2,1
570,1,25.3,87,2,1
571,0,2.2,46,3,1
572,1,38.8,21,1,0
573,0,33.4,59,0,1
574,0,15.8,5,2,0
575,0,31,79,2,1
576,0,13,5,3,1
577,1,15.4,31,3,0
578,0,13.9,29,2,0
579,1,35.4,90,1,1
580,0,2.8,38,5,1
581,0,17.1,33,2,1
582,1,19.2,5,1,1
583,1,36.5,82,4,1
584,0,25,43,2,0
585,1,14.7,11,5,1
586,0,11.2,60,0,1
587,0,21.9,89,2,1
588,1,19.1,41,0,1
589,1,1.1,58,2,1
590,1,0.2,93,0,1
591,1,37.7,87,2,0
592,0,27.3,15,0,1
593,1,36.7,24,2,1
594,0,39.9,18,1,1
595,1,21.7,96,2,0
596,1,25.5,78,0,0
597,1,4.6,54,3,1
598,0,18.6,30,4,0
599,0,13.6,96,1,0
600,1,7.2,99,2,1
601,1,38.6,19,3,1
602,1,26.1,38,2,0
603,1,24.2,65,0,1
604,1,38.4,71,0,1
605,1,37.2,56,3,0
606,0,3.2,66,2,1
607,0,24.9,1,3,0
608,1,1.2,22,5,1
609,1,15.1,88,1,1
610,0,1.7,85,4,1
611,0,16,29,3,0
612,0,34.9,0,1,0
613,1,17,58,1,1
614,0,25,29,5,0
615,1,4.4,37,1,0
616,0,38.3,44,2,1
617,0,3.2,46,2,0
618,0,9.2,30,4,0
619,0,5.9,64,3,0
620,1,17.9,87,4,1
621,1,34.5,58,4,0
622,0,30.1,98,2,1
623,0,9.3,25,3,0
624,0,15.6,88,3,0
625,0,27.6,65,2,1
626,1,8.4,50,2,1
627,0,38.7,56,4,0
628,1,25.2,14,5,1
629,1,3.5,41,1,0
630,1,33.4,78,3,1
631,1,3.6,79,1,0
632,0,3.5,34,3,0
633,0,6.9,14,4,1
634,1,9.7,42,4,0
635,1,8.8,99,4,1
636,1,19.6,54,2,1
637,0,16.3,33,1,1
638,1,18.2,26,1,0
639,1,9.1,77,3,0
640,1,10.7,3,4,1
641,0,33.9,14,4,1
642,1,1.2,85,2,0
643,0,18.1,60,0,1
644,1,32.7,79,2,0
645,1,6.1,0,2,0
646,0,24.6,62,4,0
647,0,36.7,79,0,0
648,0,21,43,2,1
649,0,29.4,48,3,1
650,0,22.1,73,4,1
651,1,33.2,27,5,1
652,0,35.9,84,3,0
653,1,29.4,67,4,0
654,0,27.4,3,3,1
655,0,26.6,26,2,0
656,0,4.6,37,1,1
657,0,18.5,6,5,1
658,1,37.9,86,2,1
659,0,36.7,92,2,1
660,0,6.4,90,3,1
661,0,1.5,40,1,1
662,1,18.7,11,4,1
663,1,33.1,49,5,0
664,1,16.1,38,4,1
665,0,34.9,53,1,0
666,0,6.4,89,4,0
667,0,1.2,4,0,0
668,0,2.8,5,4,1
669,1,18.6,5,2,0
670,0,37.7,73,3,0
671,0,18.1,18,0,1
672,0,11.6,54,3,1
673,1,34.1,79,4,0
674,1,10.5,8,2,1
675,0,20.6,98,2,0
676,0,30.6,33,5,0
677,1,0.9,33,2,0
678,0,29.9,74,1,1
679,1,35.4,81,4,0
680,0,19.5,89,1,0
681,0,18.6,61,2,1
682,0,4.3,29,2,1
683,1,22.2,96,2,1
684,1,26.2,65,1,1
685,0,33.1,22,2,1
686,0,10.2,6,4,0
687,1,12.4,75,1,1
688,0,17.1,60,1,1
689,1,6,92,5,1
690,1,33.6,18,1,0
691,0,34.6,81,4,1
692,0,18.4,22,5,0
693,0,25.6,25,2,1
694,0,19.5,61,2,1
695,1,22.3,91,1,1
696,1,21.8,53,4,0
697,0,13.7,89,2,0
698,1,14.2,63,1,1
699,1,26.3,49,0,1
700,1,2.4,62,3,1
701,0,9.4,56,1,0
702,0,26.3,67,1,0
703,0,11,72,0,0
704,0,39.5,21,3,1
705,0,26.5,83,2,0
706,0,28.3,1,2,1
707,0,31.4,71,5,0
708,0,10.5,14,2,0
709,0,13.6,74,3,0
710,1,21.6,35,5,0
711,0,12.8,92,4,0
712,0,38.6,3,4,0
713,1,15.2,33,3,0
714,0,11.4,31,4,1
715,0,3.7,80,4,0
716,1,6.1,48,2,0
717,0,5,99,1,0
718,1,29.7,1,4,0
719,0,36,12,1,0
720,0,19.5,47,1,1
721,1,4.6,40,3,1
722,1,25.2,86,1,1
723,0,30.6,11,1,0
724,0,17.4,46,4,1
725,0,15.7,85,1,1
726,0,19.9,18,2,1
727,1,20.5,77,4,1
728,1,8.7,10,1,1
729,0,26,41,5,1
730,0,21.9,41,5,0
731,1,10,77,5,0
732,1,36.4,64,1,0
733,1,2.2,72,5,0
734,0,23.7,51,1,0
735,0,17.6,73,3,0
736,0,37.5,45,1,1
737,0,11.2,15,4,1
738,0,19.8,26,4,1
739,1,4.1,24,4,1
740,1,26.3,25,3,1
741,1,4.6,43,1,0
742,1,25.7,76,3,1
743,1,18.3,9,4,1
744,0,12.3,13,0,0
745,0,35.8,70,4,0
746,1,19.8,40,0,1
747,1,1.3,66,2,0
748,1,18.4,42,0,0
749,1,34.8,67,1,0
750,1,27.5,37,0,0
751,1,38.5,80,5,0
752,0,6,92,3,0
753,1,31,64,1,1
754,1,2.7,63,1,0
755,1,0,97,4,1
756,1,16.9,89,3,0
757,0,38.1,32,1,1
758,1,1.1,92,3,1
759,1,13.5,61,0,1
760,0,5.4,83,5,1
761,0,3.2,21,4,0
762,1,15.8,40,0,0
763,1,18,48,1,0
764,0,13.9,83,4,1
765,0,24.7,12,2,0
766,0,39.2,97,3,0
767,1,7.7,9,2,0
768,1,34.4,7,1,1
769,1,34,84,2,0
770,1,19.2,95,2,1
771,0,26,83,1,1
772,0,8.2,1,2,1
773,1,1.1,15,2,1
774,1,10.6,80,5,1
775,0,18.9,78,1,1
776,0,15,26,2,1
777,1,29.6,82,2,0
778,1,16.8,25,4,0
779,1,35.1,13,2,0
780,1,31,94,0,0
781,1,40,41,4,0
782,0,26.9,1,3,0
783,0,26.7,50,1,0
784,0,2.9,59,4,0
785,1,31.2,42,1,1
786,0,27.5,27,3,0
787,0,26.1,32,0,1
788,1,35.7,14,4,1
789,1,30.4,90,1,0
790,1,8.9,35,4,1
791,0,36.6,78,3,1
792,0,7.5,73,0,0
793,1,17.3,67,2,0
794,1,17.9,69,3,1
795,0,4.9,29,0,0
796,0,32.6,17,2,0
797,1,16.6,99,1,1
798,0,13.3,44,0,1
799,0,29.8,4,3,1
800,0,13.6,84,4,1
801,1,38.2,33,1,1
802,1,2.4,13,0,1
803,0,22.5,59,4,1
804,1,14.9,45,1,0
805,1,21.5,66,3,1
806,0,19.4,77,0,1
807,1,30.7,51,4,1
808,0,34.9,20,3,1
809,0,3.2,13,4,0
810,1,26.6,29,2,0
811,1,10.5,10,2,1
812,0,36.1,24,3,1
813,0,3.6,90,2,1
814,0,37.5,59,4,1
815,0,13.7,26,1,1
816,0,27,77,3,1
817,0,30.6,51,1,0
818,0,23,33,1,1
819,0,38.4,21,1,0
820,0,37.5,85,1,0
821,0,18.2,15,3,0
822,1,3.1,61,4,0
823,0,23.6,45,3,1
824,0,7.4,24,1,1
825,1,19.9,2,1,1
826,0,15.5,37,3,0
827,0,25,79,1,1
828,0,34.1,38,1,1
829,0,19.8,82,4,1
830,1,9.7,31,3,0
831,0,23.7,82,1,1
832,1,25.6,24,4,0
833,1,19.4,54,2,0
834,1,12,62,2,0
835,0,36.5,81,2,0
836,1,4.9,77,3,1
837,1,7.3,97,2,0
838,1,28.7,17,4,1
839,1,30.8,80,0,0
840,1,31.3,67,4,1
841,1,39.8,72,1,0
842,1,29.2,80,1,0
843,0,25.4,39,2,1
844,1,13,49,3,0
845,1,38.5,48,3,1
846,0,2.2,74,4,0
847,0,4.8,88,4,1
848,1,35.4,14,1,1
849,0,28.2,24,5,1
850,1,12,51,4,0
851,0,4.7,34,4,0
852,1,1.1,85,3,0
853,0,12.9,64,4,0
854,0,23.7,79,3,0
855,1,12.2,59,2,1
856,1,15.8,31,1,1
857,1,30.5,64,2,1
858,1,26,73,5,0
859,1,39.6,83,1,0
860,0,24.7,41,2,0
861,0,9.2,37,3,0
862,0,34.7,49,0,1
863,1,0.4,69,0,1
864,0,31.2,67,2,1
865,1,10.9,60,2,0
866,0,36.9,58,1,0
867,0,35.5,61,4,1
868,0,3.9,79,5,1
869,0,37,35,1,0
870,0,38.3,42,5,1
871,0,3,49,4,0
872,0,37.1,65,0,0
873,0,3.6,7,0,0
874,1,30.7,18,5,0
875,1,34.3,28,1,1
876,1,3.6,36,0,0
877,1,11.9,35,1,0
878,1,31.4,71,3,0
879,1,34.1,29,5,1
880,0,19.6,27,1,1
881,0,2.6,7,3,0
882,0,36.1,54,2,1
883,1,5.2,100,4,0
884,0,3.8,82,5,1
885,0,33.1,83,3,0
886,0,23.8,99,2,1
887,1,12.8,42,2,1
888,1,9.1,76,3,1
889,1,6.2,32,4,0
890,0,7.1,36,2,0
891,0,9.4,99,4,1
892,1,24.4,80,3,0
893,0,8.9,47,0,0
894,0,32.3,98,4,1
895,0,1.6,62,1,0
896,1,24.7,39,3,1
897,0,1.4,16,1,0
898,1,39,48,0,0
899,1,3.1,79,4,0
900,1,30.1,53,2,0
901,1,24.1,28,4,0
902,0,31.9,31,4,1
903,0,29.9,33,1,1
904,1,35.5,71,0,1
905,0,4.6,43,2,0
906,1,15,70,3,0
907,1,1.2,57,1,0
908,1,0.8,77,2,1
909,0,30.4,30,1,1
910,1,23.8,73,1,0
911,0,29.5,46,5,0
912,1,22.1,35,1,0
913,0,29,39,3,1
914,1,35,25,2,0
915,0,12.2,60,2,0
916,0,21,16,2,0
917,0,36.7,87,1,1
918,1,35.9,34,0,1
919,0,36.9,40,1,1
920,1,9.6,45,1,1
921,0,15.6,68,5,1
922,0,6.2,40,3,0
923,1,36.1,29,5,1
924,0,16.4,19,4,1
925,1,37,1,4,1
926,0,23,100,1,0
927,1,37.3,44,4,0
928,1,15.6,95,1,1
929,1,17,90,1,1
930,1,38.5,56,0,1
931,1,37.3,18,1,0
932,1,21,1,2,1
933,0,29.9,11,2,0
934,1,8,42,2,1
935,0,0.6,73,2,0
936,1,32.6,39,2,1
937,1,39.4,60,4,0
938,1,27.2,80,1,0
939,0,27.4,6,2,1
940,1,36.5,85,1,1
941,1,38.1,53,2,1
942,0,35.8,73,1,1
943,0,18,22,3,0
944,0,27.6,60,1,1
945,0,23.6,57,1,0
946,0,4.9,26,5,1
947,0,4.7,19,0,0
948,1,15.6,3,3,0
949,0,30.1,4,4,0
950,1,24.3,58,1,1
951,0,23.3,19,0,1
952,0,6.8,26,2,1
953,1,25.9,61,3,1
954,1,10.6,64,2,1
955,0,25.6,68,4,0
956,1,21.9,32,3,1
957,1,1.7,94,0,1
958,0,39.3,3,1,0
959,1,3.2,24,3,0
960,1,32.9,30,5,0
961,1,17.7,88,4,0
962,1,39.3,65,3,1
963,1,28.1,13,1,1
964,1,32.7,16,1,1
965,0,19.5,24,1,1
966,0,20.8,4,5,1
967,1,22.8,25,4,0
968,0,29.5,52,4,1
969,0,20.9,40,3,1
970,1,21.2,32,2,1
971,0,24.4,11,3,0
972,0,14,19,4,1
973,0,8,5,0,0
974,0,6.8,22,3,1
975,0,26.2,96,1,0
976,0,25.9,33,2,0
977,0,8.9,55,2,1
978,0,38.1,19,5,1
979,1,8.7,47,4,0
980,0,8.4,91,3,1
981,1,16.3,65,4,1
982,1,37.9,96,1,1
983,1,38.8,95,4,0
984,0,3.3,35,3,1
985,1,11.1,16,3,0
986,1,27.7,91,4,1
987,0,35.3,70,4,1
988,1,0.4,18,5,1
989,0,27.8,92,3,0
990,1,7.1,23,1,1
991,1,22.5,57,1,0
992,1,20,91,3,0
993,1,5.4,64,3,0
994,1,3,3,4,0
995,0,2.3,30,1,0
996,0,32.1,95,3,0
997,1,15.7,4,2,0
998,0,19,21,5,0
999,1,25.6,2,5,1
1000,0,6.6,48,5,1
1001,0,1.1,56,1,0
1002,0,38.2,98,4,1
1003,0,13,31,4,0
1004,1,3.7,67,3,1
1005,0,29.3,37,5,1
1006,0,20,47,4,0
1007,0,0,94,1,1
1008,1,18.2,87,1,0
1009,0,37.7,14,4,0
1010,1,17.4,31,4,1
